RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
0333;ARISTE JACQUES TROUVE CHAUVEL (PLACE);;;;;46;RESTAURANT SCOLAIRE JEAN MACE
0335;ARISTIDE BRIAND (PLACE);2;14;1;17;3;ECOLE MATERNELLE GENERAL GOUGEARD
0336;ARISTOPHANE (RUE);;;1;9;96;ITEMM
0337;ARISTOTE (RUE);;;1;1;97;ITEMM
5562;ARLETTY (RUE);2;28;1;29;97;ITEMM
0338;ARMAND PEUGEOT (RUE);6;20;1;9;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
0340;ARMAND SAFFRAY (IMPASSE);2;28;13;31;83;ECOLE PRIMAIRE ARDRIERS
0345;ARMAND SAFFRAY (RUE);112;152;123;197;83;ECOLE PRIMAIRE ARDRIERS
0345;ARMAND SAFFRAY (RUE);2;104;1;105;75;ECOLE PRIMAIRE MARCEAU
0350;ARNAGE (RUE D');2;28;1;9;45;RESTAURANT SCOLAIRE JEAN MACE
0350;ARNAGE (RUE D');30;168;9BIS;169;69;RESTAURANT SCOLAIRE BERTHE HUBERT
0353;ARNOLD DOLMETSCH (RUE);14;78;9;31;96;ITEMM
0355;ARRIVEE (RUE DE L');6;22;11;23;67;RESTAURANT SCOLAIRE JULES FERRY
0360;ARROMANCHES (RUE D');2;2;;;47;ECOLE MATERNELLE MAUBOUSSIN
0360;ARROMANCHES (RUE D');4;6;3;49;48;MAISON DE QUARTIER DES BRUYERES
0365;ARSENAL (RUE DE L');;;1;31;10;ECOLE MATERNELLE RENE-DESCARTES
0367;ARSENE D'ARSONVAL (RUE);2;26;1;19;25;ECOLE PRIMAIRE CLAIREFONTAINE
0370;ARTHUR RIMBAUD (ALLEE);2;28;;;32;ECOLE MATERNELLE DES MAILLETS
0371;ARTOIS (RUE DE L');2;8;1;11;39;RESTAURANT SCOLAIRE CLAUDE BERNARD
0373;ASSE (COUR D');2;2;1;5;1;MAIRIE - SALLE PAUL SCARRON
0375;ATHENES (ALLEE D');;;47;55;33;RESTAURANT SCOLAIRE DU PLATEAU
0380;ATLAS (RUE DE L');10;14;1;5;66;RESTAURANT SCOLAIRE JULES FERRY
0381;AUBEPINES (IMPASSE DES);8;8;1;13;81;RESTAURANT SCOLAIRE MONTAIGU
0383;AUBRAC (RUE DE L');2;2;1;7;38;RESTAURANT SCOLAIRE SABLONNIERE
0384;AUGUSTE BLANQUI (RUE);2;26;3;31;62;RESTAURANT SCOLAIRE JEAN VILAR
0385;AUGUSTE PIRON (RUE);8;62;15;75;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0386;AULNES (ALLEE DES);4;26;9;19;80;RESTAURANT SCOLAIRE MONTAIGU
0390;AUNIS (RUE D');2;12;9;15;68;RESTAURANT SCOLAIRE JULES FERRY
0395;AUSTERLITZ (RUE D');2;4;3;5;4;ECOLE MATERNELLE GENERAL GOUGEARD
0400;AUSTRALIE (RUE DE L');14;72;13;83;46;RESTAURANT SCOLAIRE JEAN MACE
0402;AUTRICHE (RUE D');2;4;;;42;MAISON DE QUARTIER EDITH PIAF
0405;AUVRAY (RUE);2;44;1;61;3;ECOLE MATERNELLE GENERAL GOUGEARD
0410;AVENIR (RUE DE L');2;74;29;41;48;MAISON DE QUARTIER DES BRUYERES
5569;AVERROES (RUE);;;;;91;RESTAURANT SCOLAIRE ROGER BOUVET
5569;AVERROES (RUE);;;;;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
5569;AVERROES (RUE);;;;;97;ITEMM
0412;AVILA (ALLEE D');4;16;1;23;22;ECOLE PRIMAIRE DU VILLARET
0415;AVOCAT (RUELLE DE L');6;10;;;84;SALLE DU CHENE VERT
0411;AZALEES (RUE DES);6;22;3;13;78;ECOLE MATERNELLE MARIE CURIE
0413;AZAY-LE-RIDEAU (RUE D');2;56;1;39;81;RESTAURANT SCOLAIRE MONTAIGU
0416;BABLOT (RUE);2;44;1;31;59;RESTAURANT SCOLAIRE LOUIS BLERIOT
0420;BAINS (RUELLE DES);4;62;3;39;44;RESTAURANT SCOLAIRE JEAN MACE
0425;BALE (RUE DE);6;16;7;25;93;RESTAURANT SCOLAIRE DE LA MADELEINE
0430;BALLON (RUE DE);2;68;1;77BIS;29;RESTAURANT SCOLAIRE GERMAIN PILON
0434;BALLONNIERE (IMPASSE DE LA);2;18;3;11;83;ECOLE PRIMAIRE ARDRIERS
0435;BALLONNIERE (RUE DE LA);4;34;1;27;83;ECOLE PRIMAIRE ARDRIERS
0437;BALSAMINES (RUE DES);2;78;1;51;61;RESTAURANT SCOLAIRE JEAN VILAR
0440;BALYVER (IMPASSE DE);4;16;3;15;91;RESTAURANT SCOLAIRE ROGER BOUVET
0445;BALYVER (RUE DE);2;86;9;89;91;RESTAURANT SCOLAIRE ROGER BOUVET
0455;BANJAN (RUE);24;62;3;47;29;RESTAURANT SCOLAIRE GERMAIN PILON
0460;BARA (RUE);8;56;1;49;36;MAISON DE QUARTIER BARBARA
0462;BARBARA (RUE);4;20;3;25;97;ITEMM
0465;BARBES (RUE);2;48;13;49;36;MAISON DE QUARTIER BARBARA
0470;BARBIER (RUE);2;96;;;76;RESTAURANT SCOLAIRE PAUL COURBOULAY
0470;BARBIER (RUE);;;1;25;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0472;BARCELONE (RUE DE);4;58;3;95;19;ECOLE PRIMAIRE DU VILLARET
0475;BARILLERIE (RUE DE LA);2;24;1;17;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0480;BARY (RUE);2BIS;64;1;5;6;FOYER RENE-CLAIR
0485;BASCULE (RUE DE LA);4;20;3;17;72;ECOLE PRIMAIRE MARCEAU
0490;BATAILLE (RUE DE LA);4;76;5;99;37;RESTAURANT SCOLAIRE SABLONNIERE
0495;BATELIERS (RUE DES);6;22;3;19;78;ECOLE MATERNELLE MARIE CURIE
0500;BATIGNOLLES (RUE DES);10;62;1;51;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0510;BAUDELAIRE (RUE);2;156;1;153;82;ECOLE PRIMAIRE ARDRIERS
0515;BAUDIN (RUE);2;40;3;83;36;MAISON DE QUARTIER BARBARA
0520;BAZEILLES (RUE DE);2;56;15;61;7;ECOLE MATERNELLE FRANCOIS-RABELAIS
0525;BAZOGE (RUE);6;14;1;15;45;RESTAURANT SCOLAIRE JEAN MACE
0531;BEARN (ALLEE DU);4;12;1;23;56;ECOLE PRIMAIRE GUY MOQUET
0570;BEAU RIVAGE (RUE DE);2;30;5;23;78;ECOLE MATERNELLE MARIE CURIE
0535;BEAUCE (RUE DE);2;8;1;7;68;RESTAURANT SCOLAIRE JULES FERRY
0537;BEAUCHAMP (ALLEE DE);2;26;1;5;22;ECOLE PRIMAIRE DU VILLARET
0540;BEAUFILS (RUE);6;68;1;81;37;RESTAURANT SCOLAIRE SABLONNIERE
0550;BEAUGE (RUE DE);2;162;1;245;96;ITEMM
0552;BEAUGENCY (ALLEE DE);2;6;3;7;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
0555;BEAULIEU (RUE DE);2;94;1;93;88;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
0560;BEAUMARCHAIS (RUE);2;4;1;1;82;ECOLE PRIMAIRE ARDRIERS
0565;BEAUREGARD (RUE DE);4;28;5;45;78;ECOLE MATERNELLE MARIE CURIE
0575;BEAUVERGER (RUE);2;42;1;45;8;ECOLE MATERNELLE FRANCOIS-RABELAIS
0580;BEETHOVEN (ALLEE);2;16;;;53;FOYER FULBERT MASSON
0583;BEGONIAS (RUE DES);2;36;1;37;61;RESTAURANT SCOLAIRE JEAN VILAR
0585;BEGUIN (IMPASSE);2BIS;38;1;17;85;ECOLE MATERNELLE PAULINE KERGOMARD
0591;BEL AIR (RUE DE);2;26;1;5;56;ECOLE PRIMAIRE GUY MOQUET
0594;BEL ESSOR (ALLEE DE);2;6;;;59;RESTAURANT SCOLAIRE LOUIS BLERIOT
0592;BELFAST (RUE DE);;;3;27;20;ECOLE PRIMAIRE DU VILLARET
0595;BELFORT (IMPASSE DE);2;12;1;1;6;FOYER RENE-CLAIR
0600;BELFORT (RUE DE);2;72;1;81;6;FOYER RENE-CLAIR
0602;BELGIQUE (RUE DE);2;10;1;3;41;MAISON DE QUARTIER EDITH PIAF
0603;BELGRADE (AVENUE DE);;;1;17;34;RESTAURANT SCOLAIRE DU PLATEAU
0605;BELLE ETOILE (RUE DE LA);4;24;7;17;83;ECOLE PRIMAIRE ARDRIERS
0610;BELLE GABRIELLE (RUE DE LA);10;40;;;77;ECOLE MATERNELLE MARIE CURIE
0615;BELLEME (RUE DE);6;30;5;23;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0620;BELLEVUE (ALLEE DE);2;16;;;53;FOYER FULBERT MASSON
0627;BELLEVUE (IMPASSE DE);8;8;5;17;53;FOYER FULBERT MASSON
0630;BELLEVUE (RUE DE);8;42;9;41;30;RESTAURANT SCOLAIRE GERMAIN PILON
0632;BENJAMIN CONSTANT (RUE);14;16;;;25;ECOLE PRIMAIRE CLAIREFONTAINE
0635;BERANGER (RUE);2;124;1;99;72;ECOLE PRIMAIRE MARCEAU
0640;BERARD (IMPASSE);6;8;1;9;36;MAISON DE QUARTIER BARBARA
0645;BERARD (RUE);4;16;1;29;36;MAISON DE QUARTIER BARBARA
